generation,n_feasible,Cost_min,Cost_mean,Emissions_min,Emissions_mean
1,20,364622.9683411886,457946.9945566544,201128.41679721884,371599.4878862551
2,20,352668.60512544215,409438.04907292355,115871.52045508554,268494.8769212727
3,20,352668.60512544215,389638.0057730753,109405.68065556693,179537.43798696544
4,20,335928.6662288232,399070.06571796705,96408.38049878961,169521.07660370055
5,20,335928.6662288232,390459.92994210275,96408.38049878961,179106.2122867723
6,20,333566.1745440691,377090.8295953023,71451.11282325283,191011.76493448342
7,20,332739.0870051222,374231.5138129393,71451.11282325283,195363.53447942281
8,20,331401.2918435306,375165.15616641415,71451.11282325283,192724.46698110382
9,20,326171.9814013525,373014.03445372597,65637.65788980198,189797.95748801017
10,20,326171.9814013525,382344.604825601,65637.65788980198,168048.12233875514
11,20,326171.9814013525,366374.79664561513,63995.571655260814,188391.185281899
12,20,326171.9814013525,376828.74533875514,63102.265865542635,166495.28102941642
13,20,326171.9814013525,374691.7117580973,61185.500827812095,171065.45705368897
14,20,326171.9814013525,372321.6715023525,61185.500827812095,174380.91056103178
15,20,326171.9814013525,373598.32284154487,60523.991527496706,165763.7282191886
16,20,318771.7946690388,376697.0431520641,60523.991527496706,161384.32854373488
17,20,318478.6683387639,370906.4213365831,60026.13036672746,168950.7314864786
18,20,315115.2781112838,367548.5857351533,60026.13036672746,168976.83807498528
19,20,315055.8939851451,378356.60958568956,56714.925868313556,148511.93849450926
20,20,315055.8939851451,379189.3831369298,53592.98778864733,150652.7241583937
21,20,314762.3999563514,372187.98887126835,53592.98778864733,161247.86133779332
22,20,312733.8391545442,365300.0605731676,53592.98778864733,168606.90318547742
23,20,312733.8391545442,367340.5964969833,51429.15329574271,161924.21732326405
24,20,312733.8391545442,370016.59245904355,51429.15329574271,152565.0086854387
25,20,312733.8391545442,371057.64770838694,51429.15329574271,152077.3057068169
26,20,312733.8391545442,371085.7750703873,50419.48844368391,144940.3999631147
27,20,309124.7656648612,379096.0261454446,50294.09066081988,132249.9250769827
28,20,309124.7656648612,370782.13602183195,50294.09066081988,141301.7174688881
29,20,305200.86266847316,375425.290244776,50275.702307916006,132502.75347796894
30,20,305200.86266847316,376673.80885767826,50270.503430676385,124698.24756953462
31,20,305200.86266847316,374182.02212994586,50270.503430676385,130283.80744577145
32,20,305200.86266847316,375267.8503705193,50270.503430676385,129360.04177104813
33,20,299490.11586013413,372451.55108631664,50270.503430676385,129358.48153531234
34,20,290825.99542214896,364412.64928313374,50261.29291117435,138574.0703810688
35,20,290825.99542214896,366002.2723041924,50261.29291117435,138132.74510793338
36,20,290032.0635872469,357061.6574457901,47820.292480740965,140977.83439930074
37,20,290032.0635872469,371979.0516646153,47214.4811042056,108851.2006792459
38,20,290032.0635872469,372594.011903116,45074.25182008933,111810.05215258252
39,20,290032.0635872469,373063.7540057964,45074.25182008933,115848.84329645135
40,20,286296.5844177046,372673.36508340377,45074.25182008933,115853.97444876861
41,20,286296.5844177046,372358.5053467896,45074.25182008933,115778.17864701906
42,20,286296.5844177046,376076.7207670422,45074.25182008933,107696.03366525492
43,20,286140.7990416897,371416.6568027354,45074.25182008933,116308.13069015506
44,20,286140.7990416897,364268.660488092,41865.17456123865,125804.09644043309
45,20,280842.2620964809,372498.30745361536,41865.17456123865,114735.18614435494
46,20,280057.8665158357,368351.4724786553,41865.17456123865,122556.08874655697
47,20,280057.8665158357,369757.7044067184,41865.17456123865,121473.63955158084
48,20,280057.8665158357,365369.55501668766,41783.794627763105,122923.14213925679
49,20,280057.8665158357,367570.00711240293,41751.69517353053,121957.9166316962
50,20,278279.63932211866,367756.6501760724,41751.69517353053,120728.97214259277
51,20,274733.37526826095,364975.14471162367,41522.55243198297,123875.62857151551
