Hour,Community Load,Solar Power,Wind Power,PV Generation,WT Generation,FC Generation,DG Generation,Unmet Energy,Surplus Energy,H2 Capacity
0,50.0345,0.0,1.454675129822394,0.0,72.7337564911197,0.0,0.0,0.0,22.699256491119705,672.0
1,41.6977,0.0,1.8403255687413127,0.0,92.01627843706564,0.0,0.0,0.0,50.31857843706564,672.0
2,33.3564,0.0,2.3265269330744625,0.0,116.32634665372312,0.0,0.0,0.0,82.96994665372313,672.0
3,27.797,0.0,2.617425520679537,0.0,130.87127603397687,0.0,0.0,0.0,103.07427603397687,672.0
4,27.797,0.0,2.512742150918919,0.0,125.63710754594595,0.0,0.0,0.0,97.84010754594595,672.0
5,27.797,0.0,2.3244528405956975,0.0,116.22264202978488,0.0,0.0,0.0,88.42564202978488,672.0
6,41.6977,0.0013610162923408551,2.084268182804192,0.7349487978640618,104.2134091402096,0.0,0.0,0.0,63.25065793807367,672.0
7,83.3909,0.029483571377002006,1.579753187618312,15.921128543581084,78.9876593809156,0.0,0.0,0.0,11.51788792449669,672.0
8,138.9893,0.07791196074990467,0.9923198020694981,42.07245880494852,49.61599010347491,37.800000000000004,9.500851091576557,0.0,0.0,669.4774774774775
9,152.8856,0.12221544218459411,0.6953540166883622,65.99633877968083,34.76770083441811,37.800000000000004,14.321560385901073,0.0,0.0,666.9549549549549
10,166.7863,0.1598619728850548,0.6241382504489795,86.32546535792959,31.206912522448977,37.800000000000004,11.453922119621446,0.0,0.0,664.4324324324324
11,166.7863,0.17986729328770606,0.5787864700540543,97.12833837536128,28.939323502702713,37.800000000000004,2.918638121936006,0.0,0.0,661.9099099099099
12,152.8856,0.17654003920717617,0.5953756278610038,95.33162117187514,29.76878139305019,27.78519743507468,0.0,0.0,0.0,660.0557092135418
13,125.0886,0.16286727731927572,0.7293382876911194,87.9483297524089,36.46691438455597,0.6733558630351268,0.0,0.0,0.0,660.0107738873467
14,111.1879,0.1283799770283069,0.9543615046883619,69.32518759528573,47.718075234418095,0.0,0.0,0.0,0.0,660.1215510219627
15,111.1879,0.08077456357750476,1.121462501877551,43.61826433185257,56.07312509387755,11.496510574269877,0.0,0.0,0.0,659.3543497824385
16,138.9893,0.030496682409100837,1.253776433738555,16.46820850091445,62.68882168692775,37.800000000000004,22.032269812157786,0.0,0.0,656.8318272599159
17,152.8856,0.0,1.387356954016547,0.0,69.36784770082734,37.800000000000004,45.717752299172666,0.0,0.0,654.3093047373934
18,166.7863,0.0,1.3357856944291226,0.0,66.78928472145613,37.800000000000004,60.0,2.19701527854388,0.0,651.7867822148709
19,152.8856,0.0,1.1618762596183123,0.0,58.093812980915615,37.800000000000004,56.99178701908439,0.0,0.0,649.2642596923483
20,125.0886,0.0,1.0351581229961386,0.0,51.75790614980693,37.800000000000004,35.53069385019307,0.0,0.0,646.7417371698258
21,97.2916,0.0,1.0977868108108106,0.0,54.88934054054053,37.800000000000004,4.602259459459468,0.0,0.0,644.2192146473033
